Name	Accession	Category	Origin	Source_Species	GenGroup90	GenGroup80	GenGroup
PI_358602_LSP	KP:GERM29038	Germplasm_Accession	Ethiopia	Lens_culinaris	8	8	8
PI_368647_LSP	KP:GERM29039	Germplasm_Accession	Macedonia	Lens_culinaris	8	8	8
PI_368651_LSP	KP:GERM29040	Germplasm_Accession	Montenegro	Lens_culinaris	8	8	8
PI_370481_LSP	KP:GERM29041	Germplasm_Accession	Serbia	Lens_culinaris		7	7
PI_374116_LSP	KP:GERM29042	Germplasm_Accession	Morocco	Lens_culinaris	8	8	8
PI_374117_LSP	KP:GERM29043	Germplasm_Accession	Morocco	Lens_culinaris		8	8
PI_374118	KP:GERM29044	Germplasm_Accession	Morocco	Lens_culinaris	5	5	5
PI_374120_LSP	KP:GERM29045	Germplasm_Accession	Morocco	Lens_culinaris			7
PI_374121	KP:GERM29046	Germplasm_Accession	Morocco	Lens_culinaris			7
PI_379368_LSP	KP:GERM29047	Germplasm_Accession	Serbia	Lens_culinaris			7
PI_383682_LSP	KP:GERM29048	Germplasm_Accession	Turkey	Lens_culinaris	1	1	1
PI_420818	KP:GERM29049	Germplasm_Accession	Greece	Lens_culinaris			7
PI_420924_LSP	KP:GERM29050	Germplasm_Accession	Jordan	Lens_culinaris		7	7
PI_420925_LSP	KP:GERM29051	Germplasm_Accession	Jordan	Lens_culinaris	5	5	5
PI_420929_LSP	KP:GERM29052	Germplasm_Accession	Jordan	Lens_culinaris	5	5	5
